,term,rank,scores,counting,attention_average
26793,want,86.76207427444379,79.28293531804957,6424.0,0.012341677353370106
13624,long,86.44784317398573,86.48592622928118,5296.0,0.01633042413694886
13034,last,85.76884133486237,82.87364927335511,4872.0,0.017010190737552364
27768,years,85.69546320146912,91.82416430444937,6056.0,0.015162510618304056
7868,even,85.67087747383566,86.70839550442906,7568.0,0.01145724042077551
22373,sounds,85.61812725277973,84.23815348319113,6232.0,0.013517033614119245
9857,go,85.393328553531,81.84771590053424,6112.0,0.013391314774302068
20755,say,85.16839953232333,89.19230711186538,5024.0,0.01775324584232989
3351,cables,84.89877206527586,89.45887362066424,4112.0,0.021755562650939746
3903,cheap,84.2441404338841,94.56918244424742,5640.0,0.01676758553976018
26930,way,83.42007443819774,81.6141416587343,6496.0,0.012563753334164762
17362,perfect,83.06136720949766,95.9170212304598,4560.0,0.02103443448036399
18976,put,82.79503004381483,86.93738252598632,5384.0,0.016147359310175767
3492,cant,81.88004566156623,0.0,0.0,
22979,still,81.81733252908455,74.714713828409,6368.0,0.011732838226823021
1978,bass,81.70114468831505,86.85552444898713,5808.0,0.014954463575927536
3618,case,81.4534664915284,76.1768294185531,5464.0,0.01394158664321982
24454,thing,80.88715128665831,85.82267776479239,6552.0,0.01309869929255073
8477,fender,80.61280378883572,83.34435612394736,5552.0,0.015011591520883891
7634,enough,80.41230180587976,73.92946171699441,5416.0,0.013650196033418466
2418,bit,80.28388358956748,79.39646950620954,6056.0,0.013110381358356925
12577,job,78.63329572682454,82.01861411580467,3456.0,0.023732237880730516
13970,make,78.5779476885704,78.86618319743138,5960.0,0.013232581073394527
8608,fine,78.0849104536162,80.25730792872491,4304.0,0.01864714403548441
21926,small,78.0215793566464,78.29467518440651,5376.0,0.014563741663766092
21186,set,77.77117006145436,78.1485217221234,6272.0,0.01245990461130794
13728,lot,77.39903249890467,75.1944473293097,5288.0,0.014219827407206826
8452,feel,77.23345012124292,71.70177463057371,4736.0,0.015139732818955597
18420,pretty,76.61487967802326,79.05628764400262,4768.0,0.016580597240772363
25512,tune,75.29838066674903,221.42065813255795,14576.0,0.01519076963038954
1286,around,75.21052570251713,74.34985416539348,5464.0,0.013607220747692803
25674,two,74.85816502710308,74.37238775579317,5824.0,0.012769984161365586
27430,without,74.34834759104783,73.72338419038715,5472.0,0.013472840678067827
5208,could,74.03822106583665,73.01601492903501,5608.0,0.013019974131425643
1715,back,73.85771769968406,71.18160494651056,5808.0,0.01225578597563887
3515,capo,72.86965522010283,0.0,0.0,
8723,first,72.83130507474668,76.96003674000531,5640.0,0.013645396585107324
6665,doesnt,72.80908375974082,0.0,0.0,
15620,new,71.71216447955445,72.28210481254791,5160.0,0.014008159847393007
